daily_spend,count,male_count,female_count
0,2,2,0
1,13,8,5
2,30,14,16
3,34,13,21
4,58,18,40
5,147,59,88
6,237,89,148
7,279,97,182
8,390,131,259
9,523,185,338
10,796,276,520
11,1012,421,591
12,1280,589,691
13,1552,819,733
14,1772,1057,715
15,1979,1277,702
16,2048,1494,554
17,1954,1478,476
18,1820,1454,366
19,1660,1333,327
20,1405,1142,263
21,1219,1017,202
22,977,836,141
23,743,626,117
24,626,549,77
25,472,412,60
26,387,337,50
27,284,244,40
28,205,180,25
29,124,110,14
30,136,120,16
31,91,84,7
32,72,65,7
33,55,47,8
34,36,28,8
35,27,23,4
36,22,20,2
37,19,19,0
38,13,10,3
39,7,5,2
40,6,5,1
41,8,8,0
42,6,4,2
43,5,4,1
44,2,2,0
45,2,1,1
46,1,1,0
47,1,1,0
50,1,1,0
51,2,1,1
53,1,1,0
57,1,1,0
58,1,1,0
77,1,0,1
