,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
淮扬快餐,10414,56194,38141,21287,6038,1259,373,178,96,56,68,27,16,12,14,31
海派食府,2,2,2,2,21,28,41,31,23,18,4,6,1,1,1,0
中式点心,1763,26737,28530,18887,10613,18948,5952,1810,2774,759,440,145,41,47,10,15
一餐教工餐厅,0,0,0,1,1,1,2,3,8,6,3,3,1,0,1,0
吉祥小厨,1472,16848,26586,7022,2620,2418,2248,348,264,45,316,14,358,110,9,166
顺日北小吃,454,19892,22969,28249,24007,3960,4824,1007,395,368,62,29,59,19,6,11
高知餐厅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川菜,2,3,5,6,5,15,27,29,22,22,9,8,9,10,9,3
供应点1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
闵行一餐临时,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松叶蔬菜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一餐清真,52,195,260,240,77,16,6,14,3,6,0,1,2,1,0,2
一餐教工定额卡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈乐之家,131,5934,11034,11990,9778,2304,856,751,361,261,58,21,18,10,6,4
上海快餐,6778,37573,41941,31765,17792,3251,1094,261,111,47,33,10,7,6,6,10
西北面点,1764,27369,43525,13337,12842,8336,8441,1937,309,175,93,104,123,20,16,20
江南小吃,7034,62238,52469,13015,11579,16370,5936,3593,476,326,336,66,49,43,17,23
川味点心,4464,42767,51028,31973,28915,16725,11462,4122,2475,1250,1492,158,227,59,673,3242
大众餐厅,37,237,301,126,90,49,165,16,10,6,2,5,2,0,0,0
新疆餐厅,0,0,1,3,0,1,0,0,0,1,1,0,1,0,0,0
二大楼教工餐厅,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0
绿园餐厅,0,4,2,8,2,0,1,2,1,1,0,0,4,0,0,1
西式快餐,0,1,0,0,14,6,36,3,167,0,51,0,28,0,60,33
上海快餐定额卡,0,22,9,3,2,0,0,0,0,0,0,0,0,0,0,0
闵行第三餐饮外婆桥,3,0,1,0,2,3,4,4,0,11,13,5,14,1,4,6
闵行第三餐饮清真餐厅,184,1029,2440,2281,922,232,98,41,31,20,7,7,2,0,0,1
闵行第三餐饮学生餐厅,22337,62935,48280,54809,35160,22809,10746,4249,2199,727,997,246,379,377,73,90
东餐厅,0,0,1,3,1,1,1,0,1,1,0,1,0,0,0,0
西餐厅,1,0,1,1,1,1,3,2,1,0,0,1,2,0,0,0
面点,2579,20092,39813,46649,34128,15293,6222,2665,1150,641,297,191,97,52,27,22
炖品,0,1,4,4,4,4,1,1,0,0,1,0,0,0,0,0
苏记麻辣烫,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
吉姆丽德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
教工餐厅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
串串烧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻辣烫,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
笼仔饭,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
粉面饭,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
烧腊饭,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
甜点,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
点心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
炒面,0,8,16,19,7,1,2,2,1,1,2,0,1,0,1,1
土豆粉,12,53,27,35,2208,272,151,29,124,12,11,1,17,6,3,1
烤肉,0,0,0,2,1,2,0,0,0,1,1,0,0,0,1,0
粥档,0,1,1,4,2,0,0,0,2,0,0,0,0,0,0,0
风味煲仔饭,0,0,0,0,0,0,0,0,1,6,8,0,0,3,0,0
后发定额卡（第四餐饮）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一楼快餐厅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二楼快餐厅,0,1,0,1,1,0,1,1,1,1,0,2,0,0,0,0
二楼面馆,10,80,134,221,267,232,141,84,46,25,14,14,5,5,2,1
中西餐厅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
六餐东一楼餐厅,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
六餐面馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甜魔咖啡,18,7,9,38,210,84,422,654,215,73,89,156,388,114,58,163
闵行三餐时光咖啡,0,0,0,0,0,0,0,0,19,0,7,0,10,0,19,14
六餐伊诺咖啡,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
达通一餐蔬菜店,0,2,8,17,4,7,4,4,3,1,0,0,0,0,0,1
达通一餐水果店,6,12,24,22,16,38,21,17,15,12,45,18,9,12,9,33
浓清水果店（哈乐餐厅）,1,1,6,7,8,11,6,11,11,8,6,4,5,7,4,2
面包房1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1
梦园面包房2,49,3719,2931,4020,3392,1449,1025,724,314,172,126,70,53,24,16,11
教育超市,459,1805,2682,3095,3056,3096,2032,1474,1329,1075,812,618,490,321,285,266
北区教育超市,462,1751,1889,4113,4397,3022,3184,2247,2034,1834,1639,909,789,545,340,296
百味林,9,47,16,47,16,12,10,7,7,12,8,6,3,5,10,2
达通闵行四餐水果吧,12,21,36,33,36,42,23,26,71,11,69,15,50,20,12,34
闵行四餐面包房,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五餐饮教育超市,2,4,7,15,6,9,11,8,4,3,6,1,2,1,2,1
闵行教育超市,186,2028,1921,4750,3744,2644,2606,2306,1911,1353,1088,679,567,458,407,288
教育超市,93,523,2436,2150,1890,3149,1714,1114,1301,907,682,552,482,392,248,181
闵行西区浴室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
闵行北区浴室,2608,1290,1222,0,0,0,0,0,0,0,0,0,0,0,0,0
闵行东区浴室,3,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
六期水控,35765,20606,15676,0,0,0,0,0,0,0,0,0,0,0,0,0
